City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Santa Isabel,-23.32,-46.22,59.0,82,75,5.82,BR,1604281900
Selizharovo,56.85,33.45,36.55,89,100,5.95,RU,1604282133
Adrar,20.5,-10.07,77.41,18,100,9.75,MR,1604281854
Thompson,55.74,-97.86,21.2,100,75,3.36,CA,1604281789
Saskylakh,71.92,114.08,-8.32,89,91,10.54,RU,1604281839
Saint-Philippe,-21.36,55.77,69.8,56,90,8.05,RE,1604281842
Port Elizabeth,-33.92,25.57,64.4,88,40,11.41,ZA,1604281929
Pacific Grove,36.62,-121.92,64.99,72,1,3.83,US,1604282135
Nishihara,26.18,127.76,80.6,65,40,11.41,JP,1604282135
Caravelas,-17.71,-39.25,71.89,84,100,10.67,BR,1604281840
Belokurikha,52.0,84.99,33.82,85,0,6.06,RU,1604282136
Taltal,-25.4,-70.48,58.69,67,7,5.35,CL,1604282136
Mbeya,-8.9,33.45,58.3,89,28,5.48,TZ,1604282137
George Town,5.41,100.34,80.6,88,20,3.36,MY,1604281752
Luena,-11.78,19.92,62.49,69,9,3.8,AO,1604281899
Tuktoyaktuk,69.45,-133.04,14.0,85,90,12.75,CA,1604282057
Yamada,39.47,141.95,65.12,62,100,12.53,JP,1604281853
Padang,-0.95,100.35,83.57,63,99,2.46,ID,1604281836
São Félix do Xingu,-6.64,-51.99,72.93,92,100,3.24,BR,1604282138
Romodanovo,54.43,45.33,40.35,90,100,8.32,RU,1604282138
Ambilobe,-13.2,49.05,71.67,66,90,6.64,MG,1604282138
Grand Gaube,-20.01,57.66,66.99,70,67,3.0,MU,1604281901
Fomboni,-12.28,43.74,77.67,76,100,10.27,KM,1604282139
Olafsvik,64.89,-23.71,35.42,91,96,16.26,IS,1604282139
Kuching,1.55,110.33,86.0,70,20,4.7,MY,1604282139
Syracuse,37.09,15.28,55.4,100,0,4.7,IT,1604282139
Hithadhoo,-0.6,73.08,83.16,73,98,8.32,MV,1604282052
Saint George,37.1,-113.58,71.6,11,1,3.36,US,1604281999
Byron Bay,-28.65,153.62,73.99,64,40,24.16,AU,1604282140
Arraial do Cabo,-22.97,-42.03,68.43,74,6,17.16,BR,1604281969
Columbus,39.96,-83.0,36.0,55,90,20.8,US,1604281895
Isangel,-19.55,169.27,86.0,66,75,11.41,VU,1604281841
Sterling,39.01,-77.43,51.8,37,20,18.34,US,1604282141
Vao,-22.67,167.48,74.71,82,100,15.73,NC,1604281838
Victoria Point,-27.58,153.3,80.01,53,19,7.0,AU,1604282141
Mackay,-21.15,149.2,86.0,66,2,14.99,AU,1604281887
Fortuna,40.6,-124.16,54.0,100,1,1.54,US,1604281682
Neiafu,-18.65,-173.98,80.6,83,75,10.29,TO,1604282142
Tuatapere,-46.13,167.68,57.0,61,25,11.01,NZ,1604281872
Alpena,45.06,-83.43,32.0,93,90,14.99,US,1604282143
San Jose,37.34,-121.89,69.8,40,40,3.36,US,1604281995
Foso,5.7,-1.29,72.7,99,68,2.44,GH,1604282143
Okha,53.57,142.95,43.11,97,100,16.8,RU,1604282144
Torbay,47.67,-52.73,37.0,74,20,12.75,CA,1604281794
Bredasdorp,-34.53,20.04,64.4,82,100,10.29,ZA,1604282116
Ponta do Sol,32.67,-17.1,68.0,82,40,4.7,PT,1604281999
Klaksvík,62.23,-6.59,44.6,87,10,16.11,FO,1604281867
Quatre Cocos,-20.21,57.76,68.0,100,20,4.7,MU,1604282145
Santa Rosa de Aguán,15.95,-85.72,81.63,80,100,12.93,HN,1604282145
Iranshahr,27.2,60.68,57.22,25,0,4.63,IR,1604282145
Berlevåg,70.86,29.09,43.41,84,100,34.05,NO,1604281841
Labuhan,-6.88,112.21,83.7,70,100,6.53,ID,1604281873
Cherskiy,68.75,161.3,2.17,92,100,5.61,RU,1604281541
Bluff,-46.6,168.33,57.0,61,53,11.01,NZ,1604281835
Flin Flon,54.77,-101.86,34.77,91,91,8.63,CA,1604282146
Tegul'det,57.31,88.17,34.39,96,100,10.36,RU,1604282147
Tautira,-17.73,-149.15,84.2,66,40,10.29,PF,1604282147
Broome,42.25,-75.83,35.6,74,90,17.22,US,1604282147
Lavumisa,-27.31,31.89,61.09,92,97,1.79,SZ,1604282147
Dauphin,51.15,-100.05,44.6,48,1,19.46,CA,1604282017
Hilo,19.73,-155.09,84.2,66,1,5.82,US,1604281837
Cankuzo Province,-3.13,30.58,61.84,86,100,1.99,BI,1604282148
Banda Aceh,5.56,95.32,82.58,73,100,8.43,ID,1604281947
Thinadhoo,0.53,72.93,83.35,71,100,6.78,MV,1604281885
Magadan,59.57,150.8,31.64,93,100,10.63,RU,1604282149
Verkhnyaya Inta,65.98,60.31,25.57,97,100,15.23,RU,1604282149
Iberia,29.95,-91.75,64.4,67,1,10.29,US,1604282149
Dalby,-27.18,151.27,77.0,44,40,8.05,AU,1604282150
Takoradze,4.88,-1.76,77.59,90,67,6.44,GH,1604282150
Bambous Virieux,-20.34,57.76,68.0,100,20,4.7,MU,1604282150
Loreto,22.27,-101.97,54.95,49,0,20.92,MX,1604282150
Sola,-13.88,167.55,81.09,83,41,17.52,VU,1604281841
Hermanus,-34.42,19.23,63.0,83,89,7.0,ZA,1604281800
Mar del Plata,-38.0,-57.56,60.01,87,0,2.24,AR,1604281734
Doha,25.29,51.53,75.2,64,0,5.66,QA,1604281835
Vila Franca do Campo,37.72,-25.43,62.6,82,75,10.29,PT,1604282151
Bethel,41.37,-73.41,48.2,81,90,11.41,US,1604281838
San Felipe,10.34,-68.74,74.28,88,100,2.84,VE,1604282152
Mareeba,-17.0,145.43,91.0,45,0,8.99,AU,1604282152
Jalu,29.03,21.55,61.41,66,1,4.09,LY,1604281895
Anadyr,64.75,177.48,15.8,85,75,6.71,RU,1604281615
Shenjiamen,29.96,122.3,63.88,81,99,15.68,CN,1604281894
Pitimbu,-7.47,-34.81,78.8,83,75,6.93,BR,1604282153
Elko,41.0,-115.5,59.0,16,1,4.7,US,1604282153
Turukhansk,65.82,87.98,24.03,98,100,11.88,RU,1604281885
Mindelo,16.89,-24.98,77.0,73,20,17.22,CV,1604282154
Puerto Madero,14.72,-92.42,80.6,100,40,4.7,MX,1604282154
Saint-Pierre,-21.34,55.48,69.8,56,90,8.05,RE,1604282154
Guerrero Negro,27.98,-114.06,70.25,66,0,10.89,MX,1604282118
Emerald,-23.53,148.17,90.0,21,0,13.87,AU,1604282118
Arrondissement de Saint-Gaudens,43.08,0.67,60.01,76,0,5.82,FR,1604282155
Birnin Kebbi,12.45,4.2,76.33,22,42,8.88,NG,1604282156
Yangi Marg`ilon,40.43,71.72,41.0,38,100,4.7,UZ,1604281858
La Paz,-16.5,-68.15,44.6,81,40,4.7,BO,1604282015
Suclayin,15.76,121.55,82.13,76,100,2.68,PH,1604282157
Mattru,7.62,-11.83,73.81,98,7,1.59,SL,1604282157
Zhaoyuan,37.36,120.4,57.42,37,12,4.61,CN,1604282157
Upernavik,72.79,-56.15,16.47,92,99,3.4,GL,1604282118
Lorengau,-2.02,147.27,87.22,64,38,5.06,PG,1604281849
Provideniya,64.38,-173.3,26.6,63,0,6.71,RU,1604281836
São João da Barra,-21.64,-41.05,67.42,81,82,17.27,BR,1604282158
Bandarbeyla,9.49,50.81,76.24,77,0,17.54,SO,1604282159
San Patricio,28.02,-97.52,69.8,100,1,4.7,US,1604281870
Airai,-8.93,125.41,79.03,39,98,4.56,TL,1604281819
Suyo,16.98,120.53,84.43,69,98,5.53,PH,1604282159
Tabas,33.6,56.92,53.6,25,0,2.24,IR,1604282160
Barabai,-2.58,115.38,79.39,86,100,1.66,ID,1604282160
Cidreira,-30.18,-50.21,61.63,65,3,6.08,BR,1604281834
Chilliwack,49.17,-121.94,51.8,76,33,2.24,CA,1604282161
Shar'ya,58.37,45.51,28.26,98,40,2.46,RU,1604282161
Nanortalik,60.14,-45.24,32.02,89,0,39.35,GL,1604281836
Hearst,49.68,-83.67,21.2,73,100,6.93,CA,1604282161
Aranos,-24.13,19.12,72.41,29,21,10.65,NA,1604282162
Broken Hill,-31.95,141.43,78.8,34,19,4.7,AU,1604282162
Santa Rosa,14.31,121.11,86.0,78,75,5.82,PH,1604282162
Piaçabuçu,-10.41,-36.43,77.63,82,99,12.37,BR,1604282163
Poum,-20.23,164.02,79.0,75,45,10.76,NC,1604281994
Quang Ngai,15.12,108.8,78.24,78,95,10.49,VN,1604282163
Pochutla,15.74,-96.47,80.6,78,40,3.0,MX,1604281889
Tiksi,71.69,128.87,-4.94,90,0,6.85,RU,1604281825
Lebu,-37.62,-73.65,52.77,95,74,8.37,CL,1604281799
Davidson,36.15,-86.78,50.0,31,1,6.93,US,1604282164
Solwezi,-12.17,26.39,60.51,67,0,4.41,ZM,1604282164
Diphu,25.83,93.43,73.31,93,97,0.96,IN,1604282165
Timmins,48.47,-81.33,23.0,79,90,19.46,CA,1604282165
Bouloupari,-21.87,166.05,87.8,45,90,8.05,NC,1604282165
Nikolskoye,59.7,30.79,35.6,100,90,6.71,RU,1604281805
Bemidji,47.47,-94.88,26.6,63,1,4.7,US,1604282022
Talnakh,69.49,88.4,19.4,85,75,6.71,RU,1604281853
Tilichiki,60.47,166.1,29.64,93,88,3.42,RU,1604282166
Carutapera,-1.2,-46.02,77.99,84,37,5.5,BR,1604281812
Avera,33.19,-82.53,59.0,87,1,6.93,US,1604282167
Las Palmas,28.42,-14.01,69.8,88,40,16.11,ES,1604282167
Aklavik,68.22,-135.01,12.2,92,89,2.24,CA,1604281851
Amurzet,47.7,131.1,36.68,74,83,13.22,RU,1604282167
Srednekolymsk,67.45,153.68,-2.2,91,92,7.49,RU,1604281868
Kabare,-2.47,28.82,61.29,81,100,2.08,CD,1604282168
Mehamn,71.04,27.85,42.44,86,100,24.34,NO,1604281882
Nome,64.5,-165.41,26.6,63,1,3.36,US,1604281848
Skagen,57.72,10.58,55.99,94,81,28.01,DK,1604282169
Tessalit,20.2,1.01,71.83,24,51,12.73,ML,1604281890
Oranjemund,-28.55,16.43,60.6,68,0,3.94,NA,1604282169
Limbang,4.75,115.0,82.4,74,75,14.99,MY,1604282169
Souillac,-20.52,57.52,64.4,100,20,4.7,MU,1604281856
Shihezi,44.3,86.03,37.49,72,0,0.27,CN,1604282170
Sambava,-14.27,50.17,67.5,79,1,8.61,MG,1604281867
Pisco,-13.7,-76.22,64.4,82,90,14.99,PE,1604281816
Geraldton,-28.77,114.6,64.4,68,40,20.8,AU,1604281842
Robertsport,6.75,-11.37,78.91,84,4,7.94,LR,1604282171
Hong Kong,22.29,114.16,79.0,63,100,1.01,HK,1604282041
Pangody,65.85,74.49,26.08,97,83,18.61,RU,1604282171
Wanaka,-44.7,169.15,58.26,52,100,5.1,NZ,1604282172
Kayerkan,69.35,87.76,19.4,85,75,6.71,RU,1604282172
Palmares do Sul,-30.26,-50.51,59.5,70,0,4.79,BR,1604282172
Sinnamary,5.38,-52.95,80.85,80,92,10.45,GF,1604281836
Roseburg,43.22,-123.34,62.6,51,1,0.56,US,1604282173
Edd,13.93,41.69,82.04,43,0,13.11,ER,1604282173
Clyde River,70.47,-68.59,12.2,78,75,8.05,CA,1604281909
Ubalá,4.75,-72.54,73.74,89,86,3.67,CO,1604282173
College,64.86,-147.8,0.0,77,20,1.63,US,1604281834
La Rioja,42.25,-2.5,55.99,79,69,6.26,ES,1604282174
Vestmannaeyjar,63.44,-20.27,37.74,75,7,16.73,IS,1604282174
Alofi,-19.06,-169.92,78.8,83,75,17.22,NU,1604281884
Pangnirtung,66.15,-65.71,8.4,84,73,4.61,CA,1604281880
La Santisima Trinidad,-14.83,-64.9,76.21,39,100,3.62,BO,1604282175
Hudson Bay,52.85,-102.38,37.09,84,90,8.93,CA,1604282065
Puerto Escondido,15.85,-97.07,79.95,72,0,3.94,MX,1604282175
Sechura,-5.56,-80.82,63.77,82,98,13.58,PE,1604282176
Varkala,8.73,76.71,80.6,83,20,3.24,IN,1604282176
La Palma,33.85,-118.05,80.6,39,1,4.7,US,1604282057
Port Hardy,50.7,-127.42,51.8,76,75,3.36,CA,1604282176
Sorsk,54.0,90.25,27.37,92,66,4.23,RU,1604282177
Izumo,35.37,132.77,60.8,93,75,3.36,JP,1604282177
Mocuba,-16.84,36.99,68.43,94,27,0.72,MZ,1604281926
Port Augusta,-32.5,137.77,86.0,27,26,14.99,AU,1604282177
Scarborough,54.28,-0.4,62.01,87,100,8.99,GB,1604282178
Camacha,33.08,-16.33,68.0,82,20,2.24,PT,1604282178
Jiayuguan City,39.82,98.3,42.49,54,0,3.15,CN,1604282179
Tabuk,17.42,121.44,78.13,87,100,2.1,PH,1604282179
Bouca,6.51,18.27,70.02,94,100,0.49,CF,1604282179
Arlit,18.74,7.39,70.12,27,0,4.59,NE,1604282179
Vasterhaninge,59.12,18.1,52.0,73,100,25.57,SE,1604282180
Barcelos,41.54,-8.62,64.4,100,90,11.41,PT,1604282180
Rivadavia,-33.19,-68.46,75.2,31,0,10.31,AR,1604282180
Norman Wells,65.28,-126.83,5.0,77,75,5.82,CA,1604282174
Lagoa,39.05,-27.98,62.06,72,65,15.82,PT,1604281839
Hamilton,39.18,-84.53,39.2,44,90,11.41,US,1604281915
Chokurdakh,70.63,147.92,-0.51,93,100,12.08,RU,1604282117
Dawlatabad,36.41,64.91,50.76,40,0,2.91,AF,1604282181
Östersund,63.18,14.64,46.0,87,100,19.46,SE,1604281924
Valparaíso,-33.04,-71.63,53.6,81,90,5.82,CL,1604281917
Lakes Entrance,-37.88,147.98,70.0,67,16,3.0,AU,1604282182
Catalão,-18.17,-47.95,65.32,92,1,5.12,BR,1604282182
Aykhal,66.0,111.5,6.8,84,0,8.95,RU,1604281869
Asău,46.43,26.4,39.99,85,6,5.61,RO,1604282183
Salalah,17.02,54.09,73.4,40,0,3.36,OM,1604281883
Gouyave,12.16,-61.73,77.0,94,75,17.22,GD,1604282183
Kushmurun,52.45,64.63,31.01,97,0,7.92,KZ,1604282183
Kieta,-6.22,155.63,86.16,60,2,4.05,PG,1604281858
Katsuura,35.13,140.3,68.0,93,75,14.99,JP,1604281856
Acajutla,13.59,-89.83,79.9,76,8,5.88,SV,1604281884
Tazovsky,67.47,78.7,20.46,97,100,14.63,RU,1604282184
Paris,48.85,2.35,64.99,88,90,14.99,FR,1604281605
Yumen,40.28,97.2,43.09,53,0,3.42,CN,1604282185
Lompoc,34.64,-120.46,68.0,68,1,4.7,US,1604281669
Meadow Lake,34.8,-106.54,60.8,31,40,3.36,US,1604282185
Alice Springs,-23.7,133.88,89.6,11,0,12.75,AU,1604281984
Ola,59.58,151.28,32.04,92,100,8.97,RU,1604281790
Vodstroy,48.84,44.56,42.8,70,0,4.47,RU,1604282186
Vestmanna,62.16,-7.17,44.6,87,39,16.11,FO,1604282186
Lavrentiya,65.58,-171.0,22.66,86,23,6.02,RU,1604282181
Saint-Leu,-21.15,55.28,69.8,56,90,8.05,RE,1604281877
Truro,50.27,-5.05,59.0,93,100,31.09,GB,1604281963
Kaitangata,-46.28,169.85,55.99,62,96,17.0,NZ,1604281839
Rocha,-34.48,-54.33,48.76,88,0,1.41,UY,1604282188
Hua Hin,12.57,99.96,82.4,78,20,3.36,TH,1604282188
Rapid City,44.08,-103.23,50.0,37,1,5.48,US,1604282119
Meulaboh,4.14,96.13,78.84,86,100,4.43,ID,1604282189
Husavik,66.04,-17.34,39.2,51,0,5.82,IS,1604282055
Ocala,29.19,-82.14,71.6,94,90,5.82,US,1604281964
Beringovskiy,63.05,179.32,24.71,93,100,2.77,RU,1604281892
Westerland,54.91,8.3,60.01,93,100,23.04,DE,1604282190
Esperance,-33.87,121.9,75.2,73,91,12.75,AU,1604282190
Wanning,18.8,110.4,76.75,75,58,11.25,CN,1604282190
Lodja,-3.48,23.43,67.53,97,89,1.68,CD,1604282191
Tyret’ Pervaya,53.67,102.31,17.33,91,23,9.01,RU,1604282191
Havelock,34.88,-76.9,60.8,82,1,12.75,US,1604282191
Gallup,35.53,-108.74,57.2,33,1,10.29,US,1604282192
Akureyri,65.68,-18.09,39.2,51,0,5.82,IS,1604281873
Kaabong,3.48,34.15,65.23,72,73,18.45,UG,1604282192
Brae,60.4,-1.35,50.0,81,89,35.57,GB,1604282192
Glendive,47.11,-104.71,46.0,52,1,9.17,US,1604282193
Tomatlán,19.93,-105.25,77.5,87,0,1.28,MX,1604282193
Mossamedes,-15.2,12.15,70.02,77,12,4.76,AO,1604281838
Fes,34.04,-5.0,53.6,54,0,8.05,MA,1604282193
Filingué,14.35,3.32,79.32,17,0,9.91,NE,1604281852
Kruisfontein,-34.0,24.73,64.0,83,20,1.01,ZA,1604281830
Nānākuli,21.39,-158.15,82.4,65,20,9.17,US,1604282194
Catuday,16.29,119.81,79.81,79,100,19.06,PH,1604282194
Nouadhibou,20.93,-17.03,73.4,56,100,12.75,MR,1604281868
Vila Velha,-20.33,-40.29,69.8,83,75,17.22,BR,1604282195
Shache,38.42,77.24,36.91,70,38,1.83,CN,1604281890
Sorong,-0.88,131.25,83.46,76,100,5.75,ID,1604282195
Roslavl',53.95,32.86,43.29,95,100,7.67,RU,1604282196
Teahupoo,-17.83,-149.27,84.2,66,40,10.29,PF,1604282196
Sitka,57.05,-135.33,51.8,76,90,20.8,US,1604282196
Krutinka,56.01,71.51,32.43,94,59,11.23,RU,1604282196
Breves,-1.68,-50.48,80.29,72,80,5.48,BR,1604282197
Xai-Xai,-25.05,33.64,67.78,86,40,2.98,MZ,1604282197
Acheng,45.55,126.98,37.0,69,0,13.42,CN,1604282197
Boali,4.8,18.13,73.4,88,40,0.34,CF,1604282197
Sarangani,5.4,125.46,84.22,72,92,7.43,PH,1604282198
Pāsighāt,28.07,95.33,76.91,62,53,1.07,IN,1604282198
Hirara,24.8,125.28,78.8,69,75,8.05,JP,1604281884
Mahur,25.17,93.12,72.12,87,73,0.67,IN,1604282198
Waingapu,-9.66,120.26,86.63,60,41,11.25,ID,1604282199
Muravlenko,63.79,74.52,21.02,97,16,16.4,RU,1604281853
Lochem,52.16,6.41,64.0,96,100,7.0,NL,1604282199
Korla,41.76,86.15,37.0,57,0,8.01,CN,1604281848
Umluj,25.02,37.27,77.43,69,0,5.84,SA,1604282200
Hemsedal,60.86,8.55,39.0,87,100,8.66,NO,1604282200
Finschhafen,-6.6,147.87,85.87,65,1,5.14,PG,1604282200
Naze,28.37,129.48,80.6,83,20,3.36,JP,1604281868
Isiro,2.77,27.62,65.79,98,98,1.72,CD,1604281887
Borovskoy,53.8,64.15,25.83,98,0,3.76,KZ,1604282201
Weligama,5.97,80.42,80.22,76,65,5.06,LK,1604282201
Codrington,-38.27,141.97,73.96,63,5,9.91,AU,1604281843
Hasaki,35.73,140.83,68.0,82,75,12.75,JP,1604282202
Kattivākkam,13.22,80.32,77.0,100,20,3.36,IN,1604281882
Revin,49.94,4.63,61.0,100,100,18.34,FR,1604282202
Flinders,-34.58,150.86,71.01,64,95,5.01,AU,1604281860
Dickinson,29.46,-95.05,68.0,52,1,10.29,US,1604282203
Cockburn Town,21.46,-71.14,81.79,77,98,17.65,TC,1604282203
Iquitos,-3.75,-73.25,73.4,94,0,2.24,PE,1604282203
Bayanday,53.07,105.51,15.51,84,0,2.64,RU,1604282203
Mabaruma,8.2,-59.78,76.75,88,98,3.36,GY,1604282204
Xudat,41.63,48.68,57.09,78,0,3.62,AZ,1604282204
Nuuk,64.18,-51.72,23.0,92,9,5.82,GL,1604282204
Isoka,-10.16,32.63,62.55,89,79,1.59,ZM,1604282204
Bhisho,-32.85,27.44,54.25,95,1,6.33,ZA,1604282205
Kenora,49.82,-94.43,28.4,58,75,10.29,CA,1604282186
Stepnyak,52.83,70.78,30.87,96,98,11.01,KZ,1604281891
Mnogovershinnyy,53.94,139.92,34.92,100,100,2.89,RU,1604282206
Cururupu,-1.83,-44.87,75.22,91,11,3.2,BR,1604282105
Dehri,24.87,84.18,70.66,50,12,5.23,IN,1604282206
Altay,47.87,88.12,31.57,74,76,2.13,CN,1604282207
Mahébourg,-20.41,57.7,64.4,100,20,4.7,MU,1604281837
Canindé,-4.36,-39.31,76.8,77,0,2.73,BR,1604282207
Hualmay,-11.1,-77.61,60.84,87,64,8.05,PE,1604281877
Pau Brasil,-15.46,-39.65,67.32,96,100,2.35,BR,1604282208
Pathein,16.78,94.73,80.56,83,0,3.87,MM,1604282208
Touros,-5.2,-35.46,80.6,78,75,10.29,BR,1604281871
Tsuruoka,38.72,139.82,60.8,87,75,10.29,JP,1604282208
Progreso,21.28,-89.67,75.99,78,5,6.93,MX,1604282209
Coahuayana Viejo,18.73,-103.68,78.19,79,0,0.92,MX,1604282209
Lábrea,-7.26,-64.8,76.55,76,74,1.77,BR,1604282209
Ruwi,23.6,58.55,64.4,72,0,5.82,OM,1604282157
Ahipara,-35.17,173.17,71.19,69,100,8.37,NZ,1604281864
